neighborhood,population,median_income,renter_rate,median_age,area_sq_miles,tract_count,population_density,competitor_count,avg_rating,total_reviews
Culver City,21484,140152.0,0.3858046212625784,35.0,5.0,5,4296.8,2.0,4.15,362.0
Downtown LA,145725,45321.0,0.9300601025032046,35.0,49.0,49,2973.9795918367345,1.0,5.0,5.0
Echo Park,57369,86333.0,0.7222076152764303,35.0,17.0,17,3374.6470588235293,1.0,3.9,60.0
Hollywood,164737,64286.0,0.8405019532300716,35.0,55.0,55,2995.2181818181816,9.0,4.1,578.0
Koreatown,166124,49043.5,0.8965010231972887,35.0,52.0,52,3194.6923076923076,2.0,3.55,99.0
Mid-Wilshire,162574,81109.5,0.7917020992474852,35.0,52.0,52,3126.423076923077,9.0,3.5888888888888886,298.0
North Hollywood,50485,54958.5,0.6667214750699204,35.0,14.0,14,3606.0714285714284,1.0,4.7,45.0
Other LA County,8400241,84391.5,0.4830271501393251,35.0,2018.0,2018,4162.656590683845,0.0,0.0,0.0
Santa Monica,20280,110099.5,0.6138583972238714,35.0,4.0,4,5070.0,1.0,4.8,31.0
Sherman Oaks,46477,46989.5,0.7887898978482205,35.0,12.0,12,3873.0833333333335,1.0,4.8,22.0
Silver Lake,32011,81151.0,0.6757004548543086,35.0,7.0,7,4573.0,3.0,4.166666666666667,325.0
South LA,349180,56875.0,0.667542068847366,35.0,93.0,93,3754.6236559139784,8.0,4.3875,320.0
Van Nuys,54195,61836.0,0.730512363587006,35.0,12.0,12,4516.25,1.0,4.6,86.0
Venice,21641,113815.0,0.6503923889579616,35.0,8.0,8,2705.125,1.0,4.5,17.0
West Hollywood,63702,111390.0,0.5935544781526549,35.0,21.0,21,3033.4285714285716,5.0,3.94,862.0
West LA,155435,98104.0,0.6989770754088426,35.0,48.0,48,3238.2291666666665,5.0,4.14,1043.0
